url,depart,arrive,cabin
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA1JVSHIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA1JVSEABSANwAYIBCwj___________8BmAEB&curr=USD,RUH,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA1JVSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA1JVSHIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,RUH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0FVSHIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0FVSEABSANwAYIBCwj___________8BmAEB&curr=USD,AUH,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0FVSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0FVSHIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,AUH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0pFRBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0pFRHIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,JED,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0RPSHIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0RPSEABSANwAYIBCwj___________8BmAEB&curr=USD,DOH,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0lTVBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0lTVHIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,IST,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0JBSHIHCAESA0RPSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0RPSHIHCAESA0JBSEABSANwAYIBCwj___________8BmAEB&curr=USD,BAH,DOH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0lTVHIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0lTVEABSANwAYIBCwj___________8BmAEB&curr=USD,IST,BAH,Business
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTExLTA1MgJHRmoHCAESA0pFRHIHCAESA0JBSBoiEgoyMDI1LTExLTEyMgJHRmoHCAESA0JBSHIHCAESA0pFREABSANwAYIBCwj___________8BmAEB&curr=USD,JED,BAH,Business
