url,depart,arrive,cabin
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0lTQnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0lTQkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",ISB,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0pBSXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0pBSUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",JAI,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0tISXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0tISUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",KHI,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0tUTXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0tUTUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",KTM,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0xIRXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0xIRUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",LHE,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0xLT3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0xLT0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",LKO,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA01BQXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA01BQUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",MAA,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA1RSVnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA1RSVkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",TRV,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0RBQ3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0RBQ0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",DAC,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NPS3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NPS0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",COK,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NHUHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NHUEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",CGP,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0dPSXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0dPSUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",GOI,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NNQnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NNQkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",CMB,MCT,ECO
